Province,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time

安徽,95.595001,51.139999,141.190002,44.610001,52.150002,1.240000,26.090000,2014-01-01

安徽,206.779999,156.779999,258.670013,106.190002,87.309998,2.490000,16.340000,2014-01-02

安徽,254.800003,204.800003,337.730011,128.070007,93.570000,2.840000,15.730000,2014-01-03

安徽,124.587494,94.669998,165.710007,79.360001,51.880001,1.520000,16.600000,2014-01-04

安徽,247.119995,197.119995,302.600006,82.820000,70.089996,2.090000,11.930000,2014-01-05

安徽,200.589996,150.589996,216.050003,67.269997,58.860001,1.420000,16.879999,2014-01-06

安徽,187.485718,141.240005,195.960007,76.540001,58.090000,1.500000,11.660000,2014-01-07

安徽,179.314285,135.520004,198.490005,93.639999,59.139999,2.140000,15.530000,2014-01-08

安徽,95.699997,71.559998,130.149994,58.450001,47.490002,1.120000,18.290001,2014-01-09

安徽,101.462494,76.169998,140.360001,38.189999,51.389999,1.160000,21.559999,2014-01-10

安徽,184.585724,139.210007,203.059998,56.689999,61.369999,1.470000,30.650000,2014-01-11

安徽,234.550003,184.550003,276.609985,93.680000,71.809998,1.990000,17.430000,2014-01-12

安徽,162.642853,123.849998,185.710007,57.529999,46.919998,1.530000,24.969999,2014-01-13

安徽,167.728577,127.410004,189.490005,47.500000,53.900002,1.430000,23.160000,2014-01-14

安徽,183.614288,138.529999,196.570007,42.330002,53.759998,1.540000,33.029999,2014-01-15

安徽,158.157135,120.709999,185.750000,54.709999,54.259998,1.190000,32.209999,2014-01-16

安徽,367.220001,317.220001,426.420013,87.830002,73.720001,2.620000,12.530000,2014-01-17

安徽,308.209991,258.209991,318.119995,63.130001,62.369999,2.130000,26.450001,2014-01-18

安徽,346.799988,296.799988,370.959991,76.519997,67.309998,2.290000,20.139999,2014-01-19

安徽,149.730011,109.809998,249.460007,44.470001,40.060001,1.260000,32.980000,2014-01-20

安徽,86.470001,58.790001,122.940002,55.400002,38.869999,1.080000,33.070000,2014-01-21

安徽,74.865005,46.650002,99.730003,31.049999,33.830002,0.980000,45.540001,2014-01-22

