地区,2020年,2019年,2018年,2017年,2016年
北京,36102.55,35445.1,33106,29883,27041.2
天津,14083.73,14055.5,13362.9,12450.6,11477.2
石家庄,,5810,6082.62,6460.88,5927.73
太原,,4029,3884.48,3382.18,2955.6
呼和浩特,,2791,2903.5,2743.72,3173.59
沈阳,,6470,6292.4,5864.97,5546.45
大连,,7002,7668.48,7363.92,6810.2
长春,,5904,7175.71,6530.03,5986.42
哈尔滨,,5249,6300.48,6355.05,6101.61
上海,38700.58,37987.6,36011.8,32925,29887
南京,,14031,12820.4,11715.1,10503.02
杭州,,15373,13509.15,12603.36,11313.72
宁波,,11985,10745.46,9842.1,8686.49
合肥,,9409,7822.91,7213.45,6274.38
福州,,9392,7856.81,7103.4,6197.64
厦门,,5995,4791.41,4351.7,3784.27
南昌,,5596,5274.67,5003.19,4354.99
济南,,9443,7856.56,7201.96,6536.12
青岛,,11741,12001.52,11037.28,10011.29
郑州,,11590,10143.32,9130.2,8113.97
武汉,,16223,14847.29,13410.34,11912.61
长沙,,11574,11003.41,10535.51,9356.91
广州,,23629,22859.35,21503.15,19547.44
深圳,,26927,24221.98,22490.06,19492.6
南宁,,4507,4026.91,4118.83,3703.33
海口,,1672,1510.51,1390.58,1257.67
重庆,25002.79,23605.8,21588.8,20066.3,18023
成都,,17013,15342.77,13889.39,12170.23
贵阳,,4040,3798.45,3537.96,3157.7
昆明,,6476,5206.9,4857.64,4300.08
拉萨,,618,540.78,479.25,424.95
西安,,9321,8349.86,7469.85,6257.18
兰州,,2837,2732.94,2523.54,2264.23
西宁,,1328,1286.41,1284.91,1248.17
银川,,1897,1901.48,1803.26,1617.71
乌鲁木齐,,3413,3099.77,2743.82,2458.98
数据来源：国家统计局,,,,,
